EmployeeID,JobID,CompensationID,WorkScheduleID,LegalComplianceID,OrganizationalID,HireDate,EndDate,EmployeeStatus,LeaveBalance,AttendanceRecords,EngagementScores,ExitInterviewNotes
81,81,81,81,81,81,2023-12-27,,Terminated,15,247,3,
82,82,82,82,82,82,2021-06-25,,Active,17,241,1,
83,83,83,83,83,83,2021-08-09,,On Leave,8,255,3,
84,84,84,84,84,84,2023-05-09,,Terminated,19,201,3,
85,85,85,85,85,85,2020-12-09,,Terminated,27,246,5,
86,86,86,86,86,86,2020-07-09,,Terminated,19,249,1,
87,87,87,87,87,87,2022-11-15,,Terminated,27,219,7,
88,88,88,88,88,88,2020-11-30,2021-02-08,Terminated,4,207,1,
89,89,89,89,89,89,2021-03-15,,On Leave,11,232,1,
90,90,90,90,90,90,2020-09-07,,Terminated,4,246,2,
91,91,91,91,91,91,2022-07-23,,Active,23,219,9,
92,92,92,92,92,92,2022-05-27,2024-05-30,Terminated,19,208,8,
93,93,93,93,93,93,2022-08-17,,On Leave,4,220,8,
94,94,94,94,94,94,2024-03-05,,Terminated,18,209,4,
95,95,95,95,95,95,2020-09-12,,Active,0,258,3,
96,96,96,96,96,96,2022-06-20,,Terminated,8,204,4,
97,97,97,97,97,97,2024-05-06,,Active,18,207,2,
98,98,98,98,98,98,2021-08-01,,Active,7,225,5,
99,99,99,99,99,99,2021-08-29,,Active,4,247,8,Though sing by measure play cover partner.
100,100,100,100,100,100,2023-06-11,,On Leave,18,247,5,
101,101,101,101,101,101,2020-01-12,2020-04-22,Terminated,25,219,9,
102,102,102,102,102,102,2021-12-11,,On Leave,22,239,6,Everything by staff every time situation.
103,103,103,103,103,103,2022-04-14,,Terminated,29,210,1,
104,104,104,104,104,104,2022-06-10,,Terminated,23,243,4,
105,105,105,105,105,105,2021-09-02,,Terminated,0,207,6,
106,106,106,106,106,106,2020-05-03,,On Leave,9,237,9,
107,107,107,107,107,107,2021-02-28,,Terminated,11,238,9,
108,108,108,108,108,108,2024-02-02,,On Leave,22,248,6,Him interest sport find road fund.
109,109,109,109,109,109,2024-02-16,,Terminated,29,209,3,
110,110,110,110,110,110,2023-11-21,,Active,23,237,7,
111,111,111,111,111,111,2020-08-01,2020-02-17,On Leave,17,239,9,
112,112,112,112,112,112,2023-12-31,,Active,12,224,8,
113,113,113,113,113,113,2020-03-19,,Terminated,26,232,8,Authority past in line picture computer know yourself.
114,114,114,114,114,114,2020-08-17,,Terminated,25,228,7,
115,115,115,115,115,115,2022-10-13,,Active,5,210,9,
116,116,116,116,116,116,2021-08-05,,Terminated,0,211,7,
117,117,117,117,117,117,2022-04-06,,Terminated,22,251,1,
118,118,118,118,118,118,2020-08-19,2022-02-21,Active,10,240,6,
119,119,119,119,119,119,2020-12-21,,Terminated,17,221,3,
120,120,120,120,120,120,2020-05-22,,Active,22,210,6,
121,121,121,121,121,121,2023-06-25,,On Leave,17,223,2,
122,122,122,122,122,122,2024-02-08,,Active,21,201,4,
123,123,123,123,123,123,2021-06-07,,On Leave,1,240,1,
124,124,124,124,124,124,2020-07-28,,On Leave,5,225,1,
125,125,125,125,125,125,2023-10-12,,Active,8,208,2,
126,126,126,126,126,126,2023-09-20,,On Leave,15,246,1,
127,127,127,127,127,127,2020-12-27,,On Leave,13,204,7,
128,128,128,128,128,128,2024-06-27,,Active,20,232,8,
129,129,129,129,129,129,2020-05-24,,Active,7,219,1,Garden local clearly city serious heavy she daughter two bad.
130,130,130,130,130,130,2020-06-23,,Active,11,205,3,
131,131,131,131,131,131,2024-03-22,,Terminated,8,211,4,Make among imagine hundred investment catch.
132,132,132,132,132,132,2021-10-08,,On Leave,10,222,8,
133,133,133,133,133,133,2023-07-13,,Active,21,251,6,
134,134,134,134,134,134,2023-11-10,,Active,27,224,2,
135,135,135,135,135,135,2022-05-16,,Active,7,243,2,Learn space reason like get third available evening in success government.
136,136,136,136,136,136,2020-08-31,2021-09-12,Active,7,234,3,
137,137,137,137,137,137,2021-09-30,,Terminated,28,215,5,
138,138,138,138,138,138,2023-11-20,,Terminated,16,240,1,
139,139,139,139,139,139,2020-07-05,,Active,1,257,6,
140,140,140,140,140,140,2021-05-27,,Active,13,241,6,
141,141,141,141,141,141,2022-04-20,,Active,11,249,6,
142,142,142,142,142,142,2021-03-10,,On Leave,4,249,3,
143,143,143,143,143,143,2020-06-06,,On Leave,8,233,8,Rather both leave western receive me course seat nature focus.
144,144,144,144,144,144,2020-03-16,,On Leave,18,242,5,
145,145,145,145,145,145,2021-08-05,,On Leave,12,250,5,
146,146,146,146,146,146,2022-11-19,,Active,5,245,2,
147,147,147,147,147,147,2020-12-31,,Terminated,25,227,6,
148,148,148,148,148,148,2020-09-22,2021-04-03,Terminated,2,257,4,
149,149,149,149,149,149,2020-12-05,,On Leave,2,244,3,
150,150,150,150,150,150,2020-10-16,,Terminated,27,221,9,
151,151,151,151,151,151,2022-10-12,,Terminated,5,213,9,
152,152,152,152,152,152,2023-01-30,,On Leave,20,224,9,
153,153,153,153,153,153,2024-01-06,,Active,21,213,6,
154,154,154,154,154,154,2022-09-06,,On Leave,11,219,2,
155,155,155,155,155,155,2024-05-05,,Terminated,17,210,9,
156,156,156,156,156,156,2022-09-16,,On Leave,15,201,5,Soldier fine draw follow cause final woman.
157,157,157,157,157,157,2021-10-08,,On Leave,27,236,4,
158,158,158,158,158,158,2022-11-15,,Terminated,8,204,5,
159,159,159,159,159,159,2020-03-29,,On Leave,26,231,6,
160,160,160,160,160,160,2023-04-20,,Active,26,227,7,
161,161,161,161,161,161,2020-05-01,,Terminated,21,222,8,
162,162,162,162,162,162,2022-12-20,,On Leave,20,250,6,
163,163,163,163,163,163,2020-09-18,,Active,29,249,2,
164,164,164,164,164,164,2022-10-16,2023-11-14,On Leave,25,246,3,Choice whose partner think action be green civil thought out store indeed card rate.
165,165,165,165,165,165,2022-11-21,,Active,26,222,2,
166,166,166,166,166,166,2020-05-10,,On Leave,19,202,4,
167,167,167,167,167,167,2022-02-09,,Active,20,247,5,
168,168,168,168,168,168,2022-12-31,2023-02-06,Terminated,9,208,3,
169,169,169,169,169,169,2024-02-18,,Terminated,10,256,4,
170,170,170,170,170,170,2021-12-21,2020-11-15,Terminated,25,223,9,
171,171,171,171,171,171,2020-12-14,,Terminated,3,204,2,
172,172,172,172,172,172,2022-01-08,,On Leave,29,223,9,
173,173,173,173,173,173,2023-06-11,,On Leave,8,204,7,
174,174,174,174,174,174,2024-02-25,,On Leave,18,214,6,
175,175,175,175,175,175,2022-10-21,,On Leave,16,218,2,Fast soldier law town morning plant third.
176,176,176,176,176,176,2023-07-25,,Terminated,28,251,9,
177,177,177,177,177,177,2021-12-17,,Active,0,225,4,Near significant all child country above size culture hand according thousand new traditional.
178,178,178,178,178,178,2022-12-08,,Terminated,17,236,2,
179,179,179,179,179,179,2020-06-30,,On Leave,7,228,6,
180,180,180,180,180,180,2021-01-31,,On Leave,29,249,4,
181,181,181,181,181,181,2024-05-29,,Terminated,8,240,8,
182,182,182,182,182,182,2024-06-02,2020-01-01,Terminated,17,235,5,Employee hard help yourself open interesting baby discuss rule member.
183,183,183,183,183,183,2022-05-29,,Active,22,226,8,
184,184,184,184,184,184,2021-03-23,,On Leave,28,203,5,
185,185,185,185,185,185,2023-03-02,,Terminated,12,238,8,
186,186,186,186,186,186,2022-08-23,,On Leave,6,250,1,
187,187,187,187,187,187,2020-01-28,,On Leave,7,231,4,
188,188,188,188,188,188,2021-12-04,,Terminated,17,228,8,
189,189,189,189,189,189,2020-01-25,2021-09-28,Terminated,22,231,3,
190,190,190,190,190,190,2024-07-06,,Active,28,243,4,
191,191,191,191,191,191,2022-07-25,,Active,20,234,5,
192,192,192,192,192,192,2024-01-08,,On Leave,14,208,3,
193,193,193,193,193,193,2022-03-01,,Terminated,27,258,6,
194,194,194,194,194,194,2022-01-06,2023-07-19,Terminated,23,232,1,
195,195,195,195,195,195,2020-10-09,,Active,0,218,8,
196,196,196,196,196,196,2022-09-05,,On Leave,0,239,5,
197,197,197,197,197,197,2021-10-28,,Active,3,249,8,
198,198,198,198,198,198,2020-11-20,,Terminated,25,204,2,
199,199,199,199,199,199,2020-11-03,2021-01-16,On Leave,20,243,3,
200,200,200,200,200,200,2023-08-23,,Terminated,25,232,6,
201,201,201,201,201,201,2022-06-07,,On Leave,10,203,1,
202,202,202,202,202,202,2023-05-04,,Active,27,240,1,
203,203,203,203,203,203,2022-03-21,,Active,19,230,5,
204,204,204,204,204,204,2021-01-01,,Terminated,21,220,6,Game maybe price act down security understand likely current force you.
205,205,205,205,205,205,2020-02-29,,On Leave,27,230,3,
206,206,206,206,206,206,2023-07-01,,Active,22,238,6,
207,207,207,207,207,207,2020-12-19,,Active,4,259,7,
208,208,208,208,208,208,2022-01-21,,Active,20,252,4,
209,209,209,209,209,209,2021-01-14,,Terminated,5,242,9,
210,210,210,210,210,210,2023-11-19,,Terminated,8,215,1,
211,211,211,211,211,211,2022-04-06,,Terminated,26,222,3,
212,212,212,212,212,212,2021-12-26,,Terminated,0,218,2,
213,213,213,213,213,213,2022-01-29,,On Leave,7,244,6,
214,214,214,214,214,214,2020-04-04,,Terminated,29,237,1,
215,215,215,215,215,215,2022-03-16,,Terminated,19,207,6,
216,216,216,216,216,216,2023-06-17,2023-05-11,Terminated,22,227,8,
217,217,217,217,217,217,2022-11-06,,On Leave,17,232,4,
218,218,218,218,218,218,2023-06-16,,On Leave,22,230,8,
219,219,219,219,219,219,2022-03-02,,Terminated,12,236,6,
220,220,220,220,220,220,2024-02-13,,Active,23,254,1,
221,221,221,221,221,221,2022-03-06,,Terminated,2,224,4,
222,222,222,222,222,222,2022-02-09,,Terminated,21,247,3,
223,223,223,223,223,223,2022-07-01,,Active,3,246,1,
224,224,224,224,224,224,2022-11-13,,On Leave,6,243,3,
225,225,225,225,225,225,2021-10-04,,On Leave,19,254,6,
226,226,226,226,226,226,2020-08-18,,Active,12,259,6,
227,227,227,227,227,227,2021-12-09,,Active,17,203,8,
228,228,228,228,228,228,2022-07-26,,Terminated,5,203,2,
229,229,229,229,229,229,2023-11-01,,Active,16,253,1,
230,230,230,230,230,230,2020-05-01,,Active,9,256,2,
231,231,231,231,231,231,2020-12-10,,Terminated,24,207,9,
232,232,232,232,232,232,2023-09-09,,On Leave,14,250,3,Call note make capital including his.
233,233,233,233,233,233,2020-12-13,2022-12-27,Active,12,237,9,
234,234,234,234,234,234,2023-03-24,,Active,26,216,5,
235,235,235,235,235,235,2022-01-14,,Terminated,15,219,5,
236,236,236,236,236,236,2023-12-07,,On Leave,4,200,8,
237,237,237,237,237,237,2023-07-08,,Active,11,228,4,
238,238,238,238,238,238,2020-10-29,,On Leave,14,224,7,
239,239,239,239,239,239,2020-10-08,,Terminated,28,242,2,
240,240,240,240,240,240,2023-08-25,,On Leave,29,201,1,
241,241,241,241,241,241,2021-10-30,,Active,0,201,8,Politics leg particularly car leave successful religious around administration involve that.
242,242,242,242,242,242,2022-08-05,,On Leave,6,236,8,
243,243,243,243,243,243,2024-01-02,2022-09-27,On Leave,6,241,1,
244,244,244,244,244,244,2020-06-16,,Active,27,205,5,
245,245,245,245,245,245,2024-04-17,,Active,4,226,1,Fall box person letter experience anything standard well rock anything cause much.
246,246,246,246,246,246,2024-04-17,,Terminated,19,240,3,
247,247,247,247,247,247,2021-03-27,,Active,6,247,2,
248,248,248,248,248,248,2020-03-13,,Active,25,245,8,
249,249,249,249,249,249,2023-09-10,,On Leave,26,212,2,
250,250,250,250,250,250,2020-06-28,,On Leave,29,209,3,
251,251,251,251,251,251,2022-07-09,,Terminated,11,217,3,
252,252,252,252,252,252,2023-12-10,,Terminated,2,208,8,
253,253,253,253,253,253,2023-03-17,,Terminated,8,258,5,Recognize onto cost travel challenge group red eight couple.
254,254,254,254,254,254,2022-04-14,,Terminated,22,209,5,
255,255,255,255,255,255,2021-10-14,,On Leave,15,250,7,
256,256,256,256,256,256,2024-03-25,,Active,15,241,5,
257,257,257,257,257,257,2020-12-20,,Active,6,256,9,
258,258,258,258,258,258,2022-10-27,,Active,4,215,1,
259,259,259,259,259,259,2022-07-30,,Terminated,9,245,6,Campaign of nature western raise new election with accept draw.
260,260,260,260,260,260,2020-02-18,,Terminated,0,222,2,
261,261,261,261,261,261,2024-04-03,,Terminated,8,202,2,Lawyer real physical agency which itself budget great service myself.
262,262,262,262,262,262,2024-02-25,,Active,13,240,3,
263,263,263,263,263,263,2022-10-11,,On Leave,6,200,8,Energy reveal thousand wide issue happy government season concern score special cause any.
264,264,264,264,264,264,2021-02-23,,Terminated,10,221,5,
265,265,265,265,265,265,2021-05-10,,On Leave,7,253,7,Main yes but strong cup few none middle black behavior because wish customer.
266,266,266,266,266,266,2020-07-07,,Terminated,12,213,3,
267,267,267,267,267,267,2022-09-02,,On Leave,17,206,3,
268,268,268,268,268,268,2021-07-05,,Active,2,240,6,
269,269,269,269,269,269,2023-04-21,,Terminated,7,213,6,
270,270,270,270,270,270,2021-03-25,,Active,6,250,3,
271,271,271,271,271,271,2023-05-11,,On Leave,9,203,5,
272,272,272,272,272,272,2021-05-29,,Active,18,229,3,
273,273,273,273,273,273,2021-10-11,2020-12-06,On Leave,22,236,2,Once minute officer same help simple lay add either wind stay them.
274,274,274,274,274,274,2021-11-19,,Active,8,214,7,
275,275,275,275,275,275,2020-02-28,,On Leave,27,202,6,
276,276,276,276,276,276,2023-05-26,,Active,5,231,5,
277,277,277,277,277,277,2024-05-26,2020-12-20,Active,14,213,4,
278,278,278,278,278,278,2020-08-12,,On Leave,24,212,4,Family play reflect individual grow address.
279,279,279,279,279,279,2023-12-27,,On Leave,23,254,4,Once sister cover play decision five former cell put newspaper each.
280,280,280,280,280,280,2020-07-11,,Active,29,236,5,
281,281,281,281,281,281,2021-12-12,2020-12-20,Active,21,240,8,
282,282,282,282,282,282,2023-04-28,,Terminated,26,217,4,
283,283,283,283,283,283,2020-03-20,,On Leave,17,245,8,
284,284,284,284,284,284,2020-01-24,,Terminated,27,210,1,
285,285,285,285,285,285,2020-02-27,,Active,13,230,3,
286,286,286,286,286,286,2020-10-04,,Terminated,14,237,5,
287,287,287,287,287,287,2023-01-28,,On Leave,3,257,8,
288,288,288,288,288,288,2022-11-26,,Active,29,213,1,
289,289,289,289,289,289,2022-03-12,,On Leave,4,247,8,
290,290,290,290,290,290,2020-11-04,,Terminated,20,219,9,
291,291,291,291,291,291,2022-07-04,,Active,4,221,4,
292,292,292,292,292,292,2021-05-21,,On Leave,15,213,6,
293,293,293,293,293,293,2023-09-28,,Active,5,221,7,
294,294,294,294,294,294,2020-04-16,,Terminated,18,210,5,
295,295,295,295,295,295,2024-02-04,,Active,5,246,8,
296,296,296,296,296,296,2021-07-21,,Active,4,211,7,
297,297,297,297,297,297,2022-12-11,,On Leave,29,229,5,
298,298,298,298,298,298,2020-02-15,,Terminated,23,224,4,
299,299,299,299,299,299,2023-07-14,,Terminated,28,219,3,Feel evidence still ago customer right without high beautiful.
300,300,300,300,300,300,2023-07-05,,Active,29,249,8,
301,301,301,301,301,301,2020-05-02,,On Leave,22,252,3,
302,302,302,302,302,302,2022-03-12,,Terminated,28,215,1,
303,303,303,303,303,303,2021-04-16,,Active,28,210,4,
304,304,304,304,304,304,2020-08-15,,Terminated,13,231,1,Able ago remain exist prepare support show apply nation kitchen provide.
305,305,305,305,305,305,2022-07-08,,On Leave,24,232,9,
306,306,306,306,306,306,2022-07-14,,On Leave,16,210,2,
307,307,307,307,307,307,2023-02-09,,On Leave,19,201,6,
308,308,308,308,308,308,2021-07-28,,On Leave,8,227,1,
309,309,309,309,309,309,2021-02-09,,Terminated,15,230,5,
310,310,310,310,310,310,2020-10-17,,Active,10,204,7,
311,311,311,311,311,311,2022-11-29,,Active,22,200,9,
312,312,312,312,312,312,2021-07-10,,Active,18,251,1,
313,313,313,313,313,313,2021-09-22,,Active,6,248,6,
314,314,314,314,314,314,2021-04-27,,Terminated,5,238,6,
315,315,315,315,315,315,2024-07-11,,On Leave,24,250,6,
316,316,316,316,316,316,2021-06-11,,Active,23,215,7,
317,317,317,317,317,317,2020-06-01,,On Leave,12,207,5,North newspaper approach citizen successful necessary state affect receive level type school series.
318,318,318,318,318,318,2020-03-05,,Terminated,26,213,8,
319,319,319,319,319,319,2020-10-31,2022-06-19,On Leave,16,242,9,
320,320,320,320,320,320,2021-08-02,,Terminated,11,255,1,
321,321,321,321,321,321,2021-12-29,,On Leave,20,240,9,
322,322,322,322,322,322,2022-04-04,,Terminated,23,201,7,Take poor believe note conference forget occur trade information protect.
323,323,323,323,323,323,2020-11-28,,On Leave,22,232,7,
324,324,324,324,324,324,2021-07-15,,Active,23,209,8,
325,325,325,325,325,325,2021-10-08,,Terminated,1,238,2,
326,326,326,326,326,326,2022-01-27,,Terminated,13,234,3,
327,327,327,327,327,327,2022-01-02,,On Leave,4,215,9,
328,328,328,328,328,328,2022-10-31,,On Leave,24,259,8,
329,329,329,329,329,329,2022-03-07,,On Leave,13,235,1,
330,330,330,330,330,330,2023-05-14,,Terminated,4,242,3,
331,331,331,331,331,331,2023-09-10,,Active,12,259,3,
332,332,332,332,332,332,2024-01-01,,On Leave,19,243,7,
333,333,333,333,333,333,2022-10-25,,Active,8,221,9,
334,334,334,334,334,334,2024-07-16,,Terminated,22,239,4,
335,335,335,335,335,335,2024-02-06,,On Leave,26,244,4,
336,336,336,336,336,336,2021-06-18,,On Leave,24,236,5,
337,337,337,337,337,337,2020-05-20,,On Leave,20,218,5,
338,338,338,338,338,338,2022-02-21,2021-10-23,On Leave,5,253,6,
339,339,339,339,339,339,2020-01-16,,Terminated,9,203,1,
340,340,340,340,340,340,2023-12-20,,On Leave,2,249,8,
341,341,341,341,341,341,2022-09-04,,Active,24,207,5,Create Mrs old part during as quite wear time risk without wait.
342,342,342,342,342,342,2020-03-11,,Active,6,200,7,Yourself see strong seven music research meet physical law cause hair without bit.
343,343,343,343,343,343,2022-05-25,,Terminated,3,225,1,
344,344,344,344,344,344,2021-02-18,,On Leave,11,220,5,
345,345,345,345,345,345,2021-06-20,,Terminated,1,206,7,
346,346,346,346,346,346,2021-07-27,,Terminated,11,208,6,
347,347,347,347,347,347,2021-12-01,,Terminated,9,230,9,
348,348,348,348,348,348,2024-02-27,,Terminated,25,209,4,Since lawyer benefit agency kind season soldier money listen soon response go.
349,349,349,349,349,349,2023-06-09,,Active,17,238,6,
350,350,350,350,350,350,2023-06-28,,Terminated,16,237,5,
351,351,351,351,351,351,2021-04-05,,Active,18,215,6,
352,352,352,352,352,352,2021-01-12,,Active,11,253,5,
353,353,353,353,353,353,2020-02-19,,Active,8,201,2,
354,354,354,354,354,354,2021-07-29,,Terminated,16,251,5,
355,355,355,355,355,355,2023-07-21,,Terminated,1,225,2,
356,356,356,356,356,356,2021-02-19,,On Leave,10,243,7,
357,357,357,357,357,357,2022-12-19,,On Leave,21,216,6,
358,358,358,358,358,358,2022-11-23,,Active,17,219,2,
359,359,359,359,359,359,2020-09-07,,Terminated,12,258,8,
360,360,360,360,360,360,2022-04-03,,Active,18,254,4,
361,361,361,361,361,361,2021-06-18,,Active,9,222,5,World give become suddenly really prepare ground start.
362,362,362,362,362,362,2021-06-10,,Active,23,213,2,
363,363,363,363,363,363,2024-04-14,,Active,29,202,1,
364,364,364,364,364,364,2021-12-05,,Terminated,13,235,3,
365,365,365,365,365,365,2020-11-28,,On Leave,21,216,5,
366,366,366,366,366,366,2020-10-05,,Active,16,246,9,
367,367,367,367,367,367,2023-10-10,,Active,10,203,7,
368,368,368,368,368,368,2023-09-30,,Terminated,28,235,5,
369,369,369,369,369,369,2021-02-16,,Terminated,5,209,4,
370,370,370,370,370,370,2022-08-07,,Terminated,15,257,2,
371,371,371,371,371,371,2021-09-19,,Active,28,200,8,
372,372,372,372,372,372,2020-04-09,,On Leave,18,225,3,
373,373,373,373,373,373,2023-02-11,,On Leave,18,246,4,
374,374,374,374,374,374,2020-09-09,,Active,3,207,4,
375,375,375,375,375,375,2020-01-18,,Active,10,219,7,Sometimes movie since call adult dark prevent pressure operation reason.
376,376,376,376,376,376,2020-01-23,2024-06-27,On Leave,5,229,9,
377,377,377,377,377,377,2020-02-16,,On Leave,17,225,6,
378,378,378,378,378,378,2024-06-05,,On Leave,16,211,1,
379,379,379,379,379,379,2020-06-17,,On Leave,21,256,1,
380,380,380,380,380,380,2021-08-30,,Active,11,201,2,
381,381,381,381,381,381,2022-01-09,,Active,24,231,1,
382,382,382,382,382,382,2024-02-10,,Active,11,200,7,
383,383,383,383,383,383,2023-10-10,,Terminated,24,241,9,
384,384,384,384,384,384,2022-06-25,,On Leave,26,247,7,
385,385,385,385,385,385,2023-09-07,2021-10-07,On Leave,18,208,8,
386,386,386,386,386,386,2024-05-12,,Active,8,219,1,
387,387,387,387,387,387,2022-09-08,,Terminated,10,217,8,
388,388,388,388,388,388,2024-04-09,,Terminated,18,237,4,
389,389,389,389,389,389,2020-03-02,,Terminated,10,203,3,
390,390,390,390,390,390,2021-01-30,,Terminated,28,214,3,
391,391,391,391,391,391,2024-03-25,,Active,0,225,9,
392,392,392,392,392,392,2023-10-21,,Active,21,248,5,
393,393,393,393,393,393,2020-05-30,2021-04-25,On Leave,8,257,7,
394,394,394,394,394,394,2020-08-30,,On Leave,24,206,5,
395,395,395,395,395,395,2023-07-01,,Terminated,28,223,2,
396,396,396,396,396,396,2023-05-13,2022-10-26,On Leave,6,256,2,
397,397,397,397,397,397,2023-08-08,,On Leave,16,216,9,
398,398,398,398,398,398,2021-01-20,,Terminated,1,200,6,
399,399,399,399,399,399,2023-04-22,,Active,28,251,6,
400,400,400,400,400,400,2021-07-04,,Active,28,205,8,
401,401,401,401,401,401,2024-03-28,,Active,16,244,5,
402,402,402,402,402,402,2020-05-08,,Active,6,216,2,
403,403,403,403,403,403,2021-11-14,,Active,26,239,9,
404,404,404,404,404,404,2021-08-17,,Terminated,11,226,8,
405,405,405,405,405,405,2022-10-30,2023-12-07,On Leave,25,253,9,
406,406,406,406,406,406,2020-03-09,2022-08-26,Active,25,218,8,
407,407,407,407,407,407,2023-03-27,,Active,26,235,1,
408,408,408,408,408,408,2023-05-10,,Terminated,11,235,8,
409,409,409,409,409,409,2021-01-12,,On Leave,6,226,5,Step herself evidence put western federal more leader night interview situation this sense raise.
